sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
PH0060-C	PF0032-C	730	0.9589	-1.64995e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0060-C	PF0035-C	1009	0.9286	-2.30614e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0060-C	PF0037-C	1021	0.9324	-2.31470e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0008-C	1000	0.9430	-2.29395e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0011-C	961	0.9261	-2.21264e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0020-C	1026	0.9288	-2.28542e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0022-C	1016	0.9301	-2.33673e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0025-C	913	0.9321	-2.19800e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0028-C	921	0.9316	-2.14430e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0031-C	980	0.9367	-2.25675e+03	5	840.061	2	0.00053	0.00598	0.00270
PH0064-C	PF0032-C	706	0.9221	-1.66386e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0035-C	1001	0.9181	-2.32039e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0064-C	PF0037-C	1023	0.9277	-2.34074e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0008-C	1024	0.9385	-2.45332e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0011-C	974	0.9045	-2.37057e+03	5	431.825	2	0.00240	0.01149	0.00556
PH0163-C	PF0020-C	1047	0.9169	-2.44481e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0022-C	1045	0.9292	-2.49931e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0025-C	943	0.9332	-2.35953e+03	5	0.002	0	0.00000	0.00000	0.00000
PH0163-C	PF0028-C	931	0.9108	-2.29971e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0031-C	994	0.9276	-2.40632e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0032-C	715	0.9119	-1.78987e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0035-C	1058	0.9301	-2.50444e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0163-C	PF0037-C	1076	0.9387	-2.51205e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0008-C	1015	0.9379	-2.43678e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0011-C	968	0.9039	-2.35899e+03	5	432.661	2	0.00240	0.01148	0.00556
PH0167-C	PF0020-C	1041	0.9174	-2.43258e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0022-C	1036	0.9295	-2.48227e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0025-C	939	0.9329	-2.35268e+03	5	0.002	0	0.00000	0.00000	0.00000
PH0167-C	PF0028-C	925	0.9114	-2.28812e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0031-C	988	0.9271	-2.39352e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0032-C	710	0.9113	-1.77798e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0035-C	1050	0.9305	-2.48982e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0167-C	PF0037-C	1067	0.9381	-2.49760e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0008-C	992	0.9395	-2.26208e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0011-C	951	0.9201	-2.18697e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0020-C	1026	0.9357	-2.25088e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0022-C	998	0.9168	-2.31295e+03	5	765.583	4	0.00203	0.01930	0.00567
PH0171-C	PF0025-C	894	0.9206	-2.16523e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0028-C	930	0.9387	-2.12264e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0031-C	975	0.9395	-2.22070e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0032-C	718	0.9220	-1.65412e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0035-C	1013	0.9250	-2.30888e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0171-C	PF0037-C	1027	0.9396	-2.30432e+03	3	0.000	0	0.00000	0.00000	0.00000
